Common Name,Botanical Name,Irrigation Requirements
CHINESE PISTACHE,Pistacia chinensis,"None, once established"
CLUSTER PINE,Pinus pinaster,Minimal
COAST LIVE OAK,Quercus agrifolia,Minimal
COAST REDWOOD,Sequoia sempervirens,High
COCKSPUR CORAL TREE,Erythrina crista-galli,Moderate
CORAL GUM,Eucalyptus torquata,Minimal
CORAL TREE,Erythrina spp.,Moderate
CORK OAK,Quercus suber,Minimal
CORKSCREW WILLOW,Salix matsudana 'Tortuosa',Moderate
CRAPE MYRTLE,Lagerstroemia indica,Minimal
CRAPE MYRTLE,Lagerstroemia indica 'Muskogee',Minimal
CRAPE MYRTLE TUSCARORA,Lagerstroemia indica 'Tuscarora',Minimal
CROWN OF GOLD TREE,Cassia excelsa,Minimal
CUBAN ROYAL PALM,Roystonea regia,Moderate
CYPRESS,Cupressus spp.,Minimal
DATE PALM,Phoenix dactylifera,Moderate
DATE PALM,Phoenix loureri,Moderate
DEODAR CEDAR,Cedrus deodara,Minimal
DESERT GUM,Eucalyptus rudis,Minimal
DRACAENA,Cordyline australis,Moderate
DRAGON TREE,Dracaena draco,Moderate
DRAKE ELM,Ulmus parvifolia 'Drake',Moderate
DROOPING MELALEUCA,Melaleuca armillaris,Minimal
DROOPING SHE-OAK,Casuarina stricta,Minimal
EASTERN REDBUD,Cercis canadensis,Minimal
EDIBLE APPLE,Malus sylvestris,Moderate
EDIBLE FIG,Ficus carica,Moderate
EDIBLE LOQUAT,Eriobotrya japonica,Moderate
EUCALYPTUS,Eucalyptus spp.,Minimal
EUROPEAN WHITE BIRCH,Betula pendula,Moderate
EVERGREEN PEAR,Pyrus kawakamii,Moderate
FERN PINE,Podocarpus gracilior,Moderate
FERN-LEAF CATALINA IRONWOOD,Lyonothamnus floribundus,Minimal
FICUS ALII,Ficus 'Alii',Moderate
FIG,Ficus spp.,Moderate
FIREWHEEL TREE,Stenocarpus sinuatus,Moderate
FLOODED GUM,Eucalyptus grandis,Minimal
FLOWERING PLUM,Prunus blireiana,Moderate
FOXTAIL PALM,Wodye a bifurcata,Moderate
FRUITING PEAR,Pyrus communis,Moderate
GIANT BIRD OF PARADISE,Strelitzia nicolai,Moderate
GIANT SEQUOIA,Sequoiadendron giganteum,High
GIANT YUCCA,Yucca elephan pes,"None, once established"
GINKGO AUTUMN GOLD,Ginkgo biloba 'Autumn Gold',Minimal
GOLD MEDALLION TREE,Cassia leptophylla,Minimal
GOLDEN TRUMPET TREE,Tabebuia chrysotricha,Moderate
GOLDENRAIN TREE,Koelreuteria paniculata,Moderate
GREEN GEM INDIAN LAUREL FIG,Ficus microcarpa 'Green Gem',Moderate
GREEN WATTLE,Acacia decurrens,"None, once established"
GUADALUPE PALM,Brahea edulis,Minimal
HACKBERRY,Cel s spp.,Minimal
HEATH MELALEUCA,Melaleuca ericifolia,Minimal
HOLLY OAK,Quercus ilex,Minimal
HOLLYWOOD JUNIPER,Juniperus chinensis 'Torulosa',Minimal
HONG KONG ORCHID TREE,Bauhinia blakeana,Minimal
HOPSEED,Dodonaea viscosa,Minimal
INCENSE CEDAR,Calocedrus decurrens,"None, once established"
INDIAN LAUREL FIG,Ficus microcarpa 'Ni da',Moderate
ITALIAN ALDER,Alnus cordata,Moderate
ITALIAN CYPRESS,Cupressus sempervirens,Minimal
ITALIAN STONE PINE,Pinus pinea,Minimal
JACARANDA,Jacaranda mimosifolia,Minimal
JAPANESE BLACK PINE,Pinus thunbergiana,Minimal
JAPANESE CEDAR,Cryptomeria japonica,Moderate
JAPANESE FLOWERING CHERRY,Prunus serrulata,Moderate
JAPANESE MAPLE,Acer palmatum,Moderate
JAPANESE RED PINE,Pinus densiflora,Minimal
JUNIPER,Juniperus spp.,Minimal
KAFFIR PLUM,Harpephyllum caffrum,Minimal
KAFFIRBOOM CORAL TREE,Erythrina caffra,Moderate
KARO,Pi osporum crassifolium,Moderate
KING PALM,Archontophoenix cunninghamiana,Minimal
LAURUSTINUS,Viburnum nus,Moderate
LEMON,Citrus limon,Moderate
LEMON BOTTLEBRUSH,Callistemon citrinus,Minimal
LEMON-SCENTED GUM,Eucalyptus citriodora,Minimal
LEYLAND CYPRESS,Cupressocyparis leylandii,Moderate
LOMBARDY POPLAR,Populus nigra 'Italica',Moderate
LONDON PLANE,Platanus acerifolia,Moderate
LONDON PLANE BLOODGOOD,Platanus acerifolia 'Bloodgood',Moderate
LONG-LEAFED YELLOWWOOD,Podocarpus henkelii,Moderate
MAGNOLIA SAMUEL SOMMER,Magnolia grandiflora 'Samuel Sommer',Moderate
MAIDENHAIR TREE,Ginkgo biloba,Minimal
MAJESTY PALM,Ravenea rivularis,Moderate
MANNA GUM,Eucalyptus viminalis,Minimal
MAYTEN TREE,Maytenus boaria,Moderate
MEDITERRANEAN FAN PALM,Chamaerops humilis,Moderate
MEXICAN BLUE PALM,Brahea armata,Minimal
MEXICAN FAN PALM,Washingtonia robusta,"None, once established"
MOCK ORANGE,Pi osporum tobira,Moderate
MODESTO ASH,Fraxinus velu na 'Modesto',Minimal
MONTEREY CYPRESS,Cupressus macrocarpa,Minimal
MONTEREY PINE,Pinus radiata,Minimal
MONTEZUMA CYPRESS,Taxodium mucronatum,"None, once established"
MORETON BAY FIG,Ficus macrophylla,Moderate
MYOPORUM,Myoporum laetum,"None, once established"
NAKED CORAL TREE,Erythrina coralloides,Moderate
NEW ZEALAND CHRISTMAS TREE,Metrosideros excelsus,Minimal
NICHOL'S WILLOW LEAFED PEPPERMINT,Eucalyptus nicholii,Minimal
NORFOLK ISLAND PINE,Araucaria heterophylla,Moderate
OLEANDER,Nerium oleander,Minimal
OLIVE,Olea europaea,Minimal
ORANGE,Citrus sinensis,Moderate
ORIENTAL ARBORVITAE,Platycladus orientalis,Moderate
ORIENTAL SWEETGUM,Liquidambar orientalis,Moderate
ORNAMENTAL PEAR,Pyrus calleryana,Moderate
PAPER MULBERRY,Broussone a papyrifera,Minimal
PEACH,Prunus persica,Moderate
PEPPERMINT TREE,Agonis flexuosa,Minimal
PINCUSHION TREE,Hakea laurina,"None, once established"
PINDO PALM,Bu a capitata,Moderate
PINEAPPLE GUAVA,Feijoa sellowiana,Moderate
PINK BOTTLEBRUSH,Callistemon citrinus 'Violaceus',Moderate
PINK MELALEUCA,Melaleuca nesophila,Minimal
PINON PINE,Pinus edulis,Minimal
PITTOSPORUM,Pi osporum spp.,Moderate
PLUM,Prunus domes ca,Moderate
PLUME ALBIZIA,Albizia distachya,"None, once established"
PODOCARPUS NAGI,Podocarpus nagi,Moderate
PRIMROSE TREE,Lagunaria patersonii,Minimal
PURPLE ORCHID TREE,Bauhinia variegata,Minimal
PURPLE-LEAF PLUM,Prunus cerasifera,Moderate
PYGMY DATE PALM,Phoenix roebelenii,Moderate
QUEEN PALM,Syagrus romanzoffianum,Moderate
QUEENSLAND PITTOSPORUM,Pi osporum rhombifolium,Moderate
QUEENSLAND UMBRELLA TREE,Schefflera ac nophylla,Moderate
RED BAY,Persea borbonia,Moderate
RED CLUSTERBERRY,Cotoneaster lacteus,Minimal
RED FLOWERING GUM,Eucalyptus ficifolia,Minimal
RED GUM,Eucalyptus camaldulensis,Minimal
RED IRONBARK,Eucalyptus sideroxylon,Minimal
RIVER SHE-OAK,Casuarina cunninghamiana,Minimal
ROUGH-SHELL MACADAMIA,Macadamia tetraphylla,Moderate
ROUND-LEAFED SWEETGUM,Liquidambar styraciflua 'Rotundiloba',Moderate
RUBBER TREE,Ficus elas ca,Moderate
RUSTY LEAF FIG,Ficus rubiginosa,Moderate
SENEGAL PALM,Phoenix reclinata,Moderate
SHAMEL ASH,Fraxinus uhdei,Minimal
SIBERIAN ELM,Ulmus pumila,Moderate
SILK OAK,Grevillea robusta,Minimal
SILK TREE,Albizia julibrissin,Minimal
SILK-FLOSS TREE,Chorisia speciosa,Minimal
SILVER DOLLAR GUM,Eucalyptus polyanthemos,Minimal
SILVER MAPLE,Acer saccharinum,Moderate
SKY FLOWER,Duranta repens,Moderate
SOUTH AMERICAN ROYAL PALM,Roystonea oleracea,Moderate
SOUTHERN LIVE OAK,Quercus virginiana,Minimal
SOUTHERN MAGNOLIA,Magnolia grandiflora,Moderate
SPANISH DAGGER,Yucca gloriosa,"None, once established"
SPOTTED GUM,Eucalyptus maculata,Minimal
STAR PINE,Araucaria columnaris,Moderate
STRAWBERRY GUAVA,Psidium ca leianum,Moderate
STRAWBERRY TREE,Arbutus unedo,Minimal
SUGAR GUM,Eucalyptus cladocalyx,Minimal
SWEET BAY,Laurus nobilis,Minimal
SWEETGUM,Liquidambar styraciflua,Moderate
SWEETSHADE,Hymenosporum flavum,Moderate
TEA TREE,Leptospermum spp.,Minimal
TIPU,Tipuana pu,Moderate
TOMLINSON ASH,Fraxinus uhdei 'Tomlinson',Minimal
TORREY PINE,Pinus torreyana,Minimal
TRIANGLE PALM,Neodypsis decaryi,Moderate
TRINIDAD FLAME BUSH,Calliandra tweedii,"None, once established"
TRUE MYRTLE,Myrtus communis,Minimal
TULIP TREE,Liriodendron tulipifera,Moderate
TUPIDANTHUS,Tupidanthus calyptratus,Moderate
VICTORIAN BOX,Pi osporum undulatum,Moderate
WATER GUM,Tristaniopsis laurina,"None, once established"
WATKINS FIG,Ficus watkinsiana,Moderate
WEEPING BOTTLEBRUSH,Callistemon viminalis,Moderate
WEEPING FIG,Ficus benjamina,Moderate
WEEPING INDIAN LAUREL FIG,Ficus microcarpa,Moderate
WESTERN REDBUD,Cercis occidentalis,Minimal
WHITE ALDER,Alnus rhombifolia,Moderate
WHITE IRONBARK,Eucalyptus leucoxylon,Minimal
WHITE MULBERRY,Morus alba,Moderate
WHITE POPINAC,Leucaena glauca,Minimal
WHITE POPLAR,Populus alba,Moderate
WHITE SAPOTE,Casimiroa edulis,Moderate
WILLOW PITTOSPORUM,Pi osporum phillyreoides,Moderate
WINDMILL PALM,Trachycarpus fortunei,Moderate
XYLOSMA,Xylosma congestum,Moderate
YATE,Eucalyptus cornuta,Minimal
YELLOW OLEANDER,Theve a peruviana,Minimal
YEW PINE,Podocarpus macrophyllus,Minimal
YUCCA,Yucca spp.,"None, once established"
