botanical_name,simplified_IUCN_status,IUCN_status,IUCN_DOI_or_URL
Prunus cerasifera 'Krater Vesuvius',not listed,not listed,
Prunus ilicifolia,not listed,not listed,
Prunus ilicifolia ssp. Lyonii,not listed,not listed,
Prunus persica,not listed,not listed,
Prunus spp.,not listed,not listed,
Psidium guajava,not listed,not listed,
Pyrus calleryana,not listed,not listed,
Pyrus kawakamii,not listed,not listed,
Quillaja saponaria,not listed,not listed,
Radermachera sinica,not listed,not listed,
Rhus lancea,not listed,not listed,
Robinia ambigua 'Idahoensis',not listed,not listed,
Roystonea regia,not listed,not listed,
Salix babylonica,not listed,not listed,
Schefflera actinophylla,not listed,not listed,
Schinus molle,not listed,not listed,
Schinus terebinthifolius,not listed,not listed,
Stenocarpus sinuatus,not listed,not listed,
Strelitzia nicolai,not listed,not listed,
Stump,not listed,not listed,
Stump - not accessible,not listed,not listed,
Styphnolobium japonicum,not listed,not listed,
Syagrus romanzoffianum,not listed,not listed,
Syzygium paniculatum,not listed,not listed,
Syzygium spp.,not listed,not listed,
Taxodium huegelii,not listed,not listed,
Tecoma stans,not listed,not listed,
Thevetia peruviana,not listed,not listed,
Tipuana tipu,not listed,not listed,
Trachycarpus fortunei,not listed,not listed,
Tristania laurina,not listed,not listed,
Ulmus parvifolia,not listed,not listed,
Ulmus parvifolia 'Allee',not listed,not listed,
Ulmus parvifolia 'Drake',not listed,not listed,
Ulmus propinqua 'Emerald Sunshine',not listed,not listed,
Umbellularia californica,not listed,not listed,
Unidentified spp.,not listed,not listed,
Unsuitable site,not listed,not listed,
Vacant site,not listed,not listed,
Viburnum spp.,not listed,not listed,
Washingtonia filifera X robusta,not listed,not listed,
Wisteria sinensis,not listed,not listed,
Yucca gloriosa,not listed,not listed,
Yucca spp.,not listed,not listed,
Zelkova serrata,not listed,not listed,
